Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J125342.60-032842.7|51997-0337-051 | 5.23323|0.20909| 13269|  291|8.124|0.062| 5.48810| 0.29975|
SDSS J125447.88+492915.8|54563-2923-105 | 2.05849|0.30890| 16810|  264|7.879|0.051| 2.38283| 0.10882|
SDSS J125503.19+340859.5|53476-2006-354 | 3.05617|0.23344| 19554|  361|7.903|0.058| 2.87853| 0.15656|
SDSS J125516.04+161346.1|54149-2602-207 | 6.64116|0.08923| 23562|  163|7.935|0.022| 6.31376| 0.13607|
SDSS J125520.93+344233.5|53765-1987-605 | 7.47267|0.19925|  9491|   59|7.978|0.067| 7.44181| 0.38607|
SDSS J125556.63+634108.9|52320-0782-538 | 5.46445|0.09332| 15352|  187|7.999|0.033| 5.58117| 0.17672|
SDSS J125607.24+155115.2|53498-1771-361 |12.42582|0.15062|  8771|   48|8.359|0.057|11.99810| 0.59997|
SDSS J125612.70+362235.8|53848-2031-483 | 2.95649|0.11119| 35353|  219|7.846|0.038| 2.85943| 0.09339|
SDSS J125628.09+050256.4|52669-0848-503 | 2.89446|0.32249| 23903|  423|7.899|0.058| 2.42769| 0.13510|
SDSS J125629.36+610201.1|52398-0957-445 | 9.31627|0.10580|  9308|   40|8.041|0.046| 9.92586| 0.36574|
SDSS J125653.70+312010.1|53845-1994-138 | 8.95200|0.10327| 10675|   56|7.935|0.034| 8.95386| 0.25414|
SDSS J125656.18+450105.6|53083-1374-341 | 4.88397|0.19960| 14754|  373|8.115|0.048| 4.81996| 0.25367|
SDSS J125658.19+135959.6|53498-1771-260 | 4.48431|0.15928| 15878|  302|8.199|0.049| 4.70897| 0.23187|
SDSS J125720.78-010309.0|51994-0293-211 | 6.16828|0.24189| 10666|  104|8.014|0.062| 6.05034| 0.31584|
SDSS J125721.07+192451.7|54568-2899-167 | 2.27822|0.10079| 47735|  722|7.710|0.061| 1.93628| 0.11156|
SDSS J125726.90+065834.7|54270-1792-069 | 3.53346|0.14079| 23716|  352|7.850|0.048| 3.22521| 0.14953|
SDSS J125739.63+291135.7|54892-3236-088 |13.73011|0.14326|  6765|   58|8.020|0.107|14.29832| 1.11956|
SDSS J125804.48+501445.8|54567-2898-632 |19.96438|0.05931|  8227|   21|8.097|0.029|19.70871| 0.45868|
SDSS J125816.99+000710.2|51994-0293-499 | 3.83949|0.21193| 15786|  261|7.978|0.048| 3.83372| 0.17163|
SDSS J125823.60+580916.7|52781-1318-411 | 7.44042|0.08000| 12948|  158|8.038|0.039| 7.69372| 0.25127|
SDSS J125834.49+301915.2|53499-2011-393 | 3.10583|0.13595| 25805|  257|7.864|0.037| 3.15664| 0.11093|
SDSS J125904.59+491854.0|54563-2923-029 | 2.00688|0.20386| 21871|  350|7.971|0.049| 2.23432| 0.10419|
SDSS J125907.62+635827.2|52072-0602-270 | 3.22594|0.12362| 25311|  376|8.143|0.055| 3.25105| 0.17028|
SDSS J125932.62+190643.0|54582-2924-093 | 2.25454|0.26594| 16479|  260|7.496|0.052| 2.16761| 0.10672|
SDSS J125938.08+603900.0|54571-2446-602 | 2.97456|0.08671| 37089|  320|7.771|0.045| 2.68294| 0.10821|
SDSS J125946.53+273404.5|54169-2241-119 |30.33778|0.07316|  8652|   21|8.027|0.027|29.55552| 0.63240|
SDSS J130003.96+390636.4|53475-2021-097 | 7.83314|0.14025|  9681|   63|8.089|0.067| 8.25512| 0.44600|
